LibRef	Designator	Design comment

"A01-0015"	"C204"	""
"A01-0019"	"C208"	""
"A01-0019"	"C211"	""
"A01-0028"	"C504"	""
"A01-0028"	"C505"	""
"A01-0046"	"C200"	""
"A01-0050"	"C102"	""
"A01-0246"	"C106"	""
"A01-0246"	"C107"	""
"A01-0246"	"C203"	""
"A01-0246"	"C205"	""
"A01-0246"	"C206"	""
"A01-0246"	"C210"	""
"A01-0246"	"C215"	""
"A01-0246"	"C304"	""
"A01-0246"	"C307"	""
"A01-0246"	"C308"	""
"A01-0246"	"C310"	""
"A01-0246"	"C401"	""
"A01-0246"	"C402"	""
"A01-0246"	"C404"	""
"A01-0246"	"C406"	""
"A01-0246"	"C501"	""
"A01-0246"	"C506"	""
"A01-0286"	"C309"	""
"A01-0286"	"C405"	""
"A01-0286"	"C407"	""
"A01-0300"	"C207"	""
"A01-0300"	"C209"	""
"A01-0300"	"C212"	""
"A01-0300"	"C214"	""
"A01-0321"	"C201"	""
"A01-0321"	"C202"	""
"A01-0321"	"C213"	""
"A01-0321"	"C400"	""
"A01-0368"	"C108"	""
"A01-0368"	"C109"	""
"A01-0377"	"C101"	""
"A01-0377"	"C103"	""
"A01-0377"	"C105"	""
"A01-0377"	"C305"	""
"A01-0377"	"C500"	""
"A01-0377"	"C507"	""
"A01-0397"	"C403"	""
"A01-0491"	"C306"	""
"A01-0500"	"C100"	""
"A01-0500"	"C104"	""
"A01-0629"	"C701"	""
"A01-0793"	"C300"	""
"A01-0793"	"C301"	""
"A02-0081"	"R502"	""
"A02-0163"	"R103"	""
"A02-0163"	"R104"	""
"A02-0163"	"R201"	""
"A02-0163"	"R202"	""
"A02-0163"	"R203"	""
"A02-0163"	"R204"	""
"A02-0163"	"R205"	""
"A02-0163"	"R206"	""
"A02-0163"	"R207"	""
"A02-0163"	"R208"	""
"A02-0163"	"R209"	""
"A02-0163"	"R215"	""
"A02-0163"	"R216"	""
"A02-0163"	"R222"	""
"A02-0163"	"R224"	""
"A02-0163"	"R225"	""
"A02-0163"	"R226"	""
"A02-0163"	"R227"	""
"A02-0163"	"R228"	""
"A02-0163"	"R230"	""
"A02-0163"	"R231"	""
"A02-0163"	"R232"	""
"A02-0163"	"R300"	""
"A02-0163"	"R302"	""
"A02-0163"	"R303"	""
"A02-0163"	"R304"	""
"A02-0163"	"R305"	""
"A02-0163"	"R313"	""
"A02-0163"	"R314"	""
"A02-0163"	"R505"	""
"A02-0163"	"R702"	""
"A02-0163"	"R803"	""
"A02-0178"	"R219"	""
"A02-0178"	"R220"	""
"A02-0178"	"R223"	""
"A02-0178"	"R606"	""
"A02-0178"	"R704"	""
"A02-0200"	"R210"	""
"A02-0200"	"R211"	""
"A02-0200"	"R212"	""
"A02-0200"	"R213"	""
"A02-0200"	"R214"	""
"A02-0200"	"R229"	""
"A02-0200"	"R234"	""
"A02-0200"	"R236"	""
"A02-0200"	"R701"	""
"A02-0200"	"R703"	""
"A02-0208"	"R506"	""
"A02-0212"	"R217"	""
"A02-0212"	"R218"	""
"A02-0219"	"R400"	""
"A02-0220"	"R607"	""
"A02-0220"	"R700"	""
"A02-0228"	"R403"	""
"A02-0228"	"R404"	""
"A02-0236"	"R507"	""
"A02-0236"	"R508"	""
"A02-0236"	"R509"	""
"A02-0236"	"R705"	""
"A02-0248"	"R402"	""
"A02-0250"	"R401"	""
"A02-0252"	"R105"	""
"A02-0252"	"R106"	""
"A02-0252"	"R608"	""
"A02-0260"	"R101"	""
"A02-0260"	"R102"	""
"A02-0260"	"R500"	""
"A02-0260"	"R601"	""
"A02-0260"	"R602"	""
"A02-0260"	"R603"	""
"A02-0260"	"R604"	""
"A02-0260"	"R605"	""
"A02-0539"	"R221"	""
"A02-0765"	"R329"	""
"A02-0765"	"R330"	""
"A02-0846"	"R100"	""
"A02-0846"	"R200"	""
"A02-0846"	"R233"	""
"A02-0846"	"R235"	""
"A02-0884"	"R600"	""
"A02-0884"	"R609"	""
"A02-0895"	"R501"	""
"A02-0895"	"R504"	""
"A02-0896"	"R503"	""
"A03-0035"	"L100"	""
"A03-0035"	"L101"	""
"A03-0035"	"L102"	""
"A03-0035"	"L103"	""
"A03-0035"	"L200"	""
"A03-0035"	"L201"	""
"A03-0035"	"L300"	""
"A03-0035"	"L302"	""
"A03-0035"	"L400"	""
"A03-0037"	"L500"	""
"A03-0037"	"L501"	""
"A03-0301"	"L301"	""
"A04-0195"	"D200"	""
"A05-0051"	"Q200"	""
"A05-0087"	"Q501"	""
"A05-0130"	"Q600"	""
"A05-0132"	"Q602"	""
"A05-0132"	"Q603"	""
"A05-0132"	"Q604"	""
"A05-0132"	"Q605"	""
"A05-0140"	"Q500"	""
"A05-0140"	"Q601"	""
"A05-0181"	"Q100A"	""
"A05-0181"	"Q100B"	""
"A05-0181"	"Q101A"	""
"A05-0181"	"Q101B"	""
"A06-0123"	"U400"	""
"A06-0719"	"U101"	""
"A06-0736"	"U200"	""
"A06-1023"	"U401"	""
"A06-1125"	"U501"	""
