Altium Designer Pick and Place Locations
D:\ALTIUM_WORK\00001_MCHP-CDB\Boards\Boards\16-07349\PCB Files\Rev5\Project Files\SAM L10\Project Outputs\Pick Place\Pick Place for 04-07349-R5_L10(Default).txt

========================================================================================================================
File Design Information:

Date:       06/07/18
Time:       14:32
Revision:   Not in VersionControl
Variant:    Default
Units used: mm

Designator Comment                                                     Layer       Footprint Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                           
JS300      "To be used by request from ESCATEC"                        TopLayer    AP8-00525 -224.0800    -202.4800    90       "Jumper cap for 2.54mm pinheader"                                                                                                                                                     
R803       ""                                                          BottomLayer AP2-00000 -57.1500     -51.6400     360      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R600       ""                                                          BottomLayer AP2-00011 -51.5200     -14.6700     360      "Thick film SMD 0402 1/16W 1%"                                                                                                                                                        
R228       ""                                                          BottomLayer AP2-00000 -23.1512     -30.7750     90       "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R227       ""                                                          BottomLayer AP2-00000 -27.1000     -30.7750     90       "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R226       ""                                                          BottomLayer AP2-00000 -25.8500     -30.7750     90       "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R225       ""                                                          BottomLayer AP2-00011 -18.1800     -26.1700     270      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R223       ""                                                          BottomLayer AP2-00011 -19.8740     -22.3500     360      "Thick film resistor, SMD 0402, 1/16W, 1%"                                                                                                                                            
R208       ""                                                          BottomLayer AP2-00011 -32.3858     -18.8000     180      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R207       ""                                                          BottomLayer AP2-00011 -32.3858     -17.9500     180      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R206       ""                                                          BottomLayer AP2-00011 -21.1300     -25.9200     270      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R205       ""                                                          BottomLayer AP2-00011 -22.9740     -25.9200     270      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R204       ""                                                          BottomLayer AP2-00011 -21.9740     -25.9200     270      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R203       ""                                                          BottomLayer AP2-00011 -23.8266     -25.9200     270      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R202       ""                                                          BottomLayer AP2-00011 -19.0300     -26.1700     270      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R201       ""                                                          BottomLayer AP2-00011 -19.8745     -23.2000     360      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R314       ""                                                          TopLayer    AP2-00000 -19.0500     -79.2000     90       "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R313       ""                                                          TopLayer    AP2-00000 -17.7500     -79.2000     90       "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R403       ""                                                          BottomLayer AP2-00011 -38.4000     -26.1282     270      "Thick film resistor, SMD 0402, 1/16W, 1%"                                                                                                                                            
U300       ""                                                          TopLayer    AP6-00409 -18.5000     -83.2000     90       "ATECC508A with an I2C Interface and a 8 Pin UDFN Package with Paddle"                                                                                                                
C310       ""                                                          TopLayer    AP1-00053 -20.1500     -83.1500     270      "Ceramic capacitor, SMD 0402, X7R, 16V, +/-10%"                                                                                                                                       
R222       ""                                                          BottomLayer AP2-00000 -24.6000     -30.7745     90       "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
